
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:25             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1536           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1537           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1538           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1539           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1540           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1541           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5672           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:6017           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:6018           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8083           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8443           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9510           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9512           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9675           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9676           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:33067          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING
  TCP    100.65.16.59:139       0.0.0.0:0              LISTENING
  TCP    100.65.16.59:3432      23.23.119.220:443      ESTABLISHED
  TCP    100.65.16.59:16979     0.0.0.0:0              LISTENING
  TCP    100.65.16.59:19070     74.125.196.101:443     ESTABLISHED
  TCP    100.65.16.59:19402     108.160.172.193:443    CLOSE_WAIT
  TCP    100.65.16.59:20236     64.233.190.120:443     ESTABLISHED
  TCP    100.65.16.59:20297     74.125.138.189:443     ESTABLISHED
  TCP    100.65.16.59:20554     74.125.138.189:443     ESTABLISHED
  TCP    100.65.16.59:21009     199.16.156.52:443      ESTABLISHED
  TCP    100.65.16.59:21173     162.125.32.129:443     ESTABLISHED
  TCP    100.65.16.59:21606     23.23.119.220:443      ESTABLISHED
  TCP    100.65.16.59:22289     74.125.196.101:443     ESTABLISHED
  TCP    100.65.16.59:22303     54.230.49.171:443      CLOSE_WAIT
  TCP    100.65.16.59:22304     45.58.74.33:443        CLOSE_WAIT
  TCP    100.65.16.59:22305     45.58.74.33:443        CLOSE_WAIT
  TCP    100.65.16.59:22392     74.125.196.101:443     ESTABLISHED
  TCP    100.65.16.59:22481     74.125.196.94:443      ESTABLISHED
  TCP    100.65.16.59:22529     23.7.226.28:80         TIME_WAIT
  TCP    100.65.16.59:22530     23.7.226.28:80         TIME_WAIT
  TCP    100.65.16.59:22531     65.52.210.213:443      TIME_WAIT
  TCP    100.65.16.59:22532     40.84.193.147:80       TIME_WAIT
  TCP    100.65.16.59:22548     74.125.196.101:443     ESTABLISHED
  TCP    100.65.16.59:22549     74.125.196.101:443     ESTABLISHED
  TCP    100.65.16.59:22551     65.55.44.109:443       ESTABLISHED
  TCP    100.65.16.59:22555     54.243.115.53:443      ESTABLISHED
  TCP    100.65.16.59:22570     74.125.196.101:443     ESTABLISHED
  TCP    100.65.16.59:22572     72.21.81.200:443       ESTABLISHED
  TCP    100.65.16.59:22584     72.21.81.200:443       ESTABLISHED
  TCP    100.65.16.59:22628     72.21.81.200:443       ESTABLISHED
  TCP    100.65.16.59:22630     74.125.196.120:443     ESTABLISHED
  TCP    100.65.16.59:22642     52.200.35.41:443       ESTABLISHED
  TCP    100.65.16.59:22677     74.125.196.139:443     ESTABLISHED
  TCP    100.65.16.59:22678     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22679     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22680     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22681     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22682     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22683     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22684     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22685     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22686     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:22687     100.64.3.10:80         SYN_SENT
  TCP    100.65.16.59:30749     23.23.119.220:443      ESTABLISHED
  TCP    100.65.16.59:35950     23.23.119.220:443      ESTABLISHED
  TCP    100.65.16.59:36385     65.52.108.236:443      ESTABLISHED
  TCP    100.65.16.59:36422     65.52.108.216:443      ESTABLISHED
  TCP    100.65.16.59:36476     50.16.216.76:443       ESTABLISHED
  TCP    100.65.16.59:36478     173.255.112.173:443    ESTABLISHED
  TCP    100.65.16.59:36480     198.252.206.25:80      ESTABLISHED
  TCP    100.65.16.59:36498     198.252.206.25:80      ESTABLISHED
  TCP    100.65.16.59:36517     198.252.206.25:80      ESTABLISHED
  TCP    100.65.16.59:36593     173.194.219.188:443    ESTABLISHED
  TCP    100.65.16.59:36626     54.197.225.205:443     ESTABLISHED
  TCP    100.65.16.59:36642     50.16.216.76:443       ESTABLISHED
  TCP    100.65.16.59:36649     50.16.216.76:443       ESTABLISHED
  TCP    100.65.16.59:36655     50.16.216.76:443       ESTABLISHED
  TCP    100.65.16.59:36668     50.16.216.76:443       ESTABLISHED
  TCP    100.65.16.59:36786     184.73.174.204:443     ESTABLISHED
  TCP    100.65.16.59:37060     174.129.228.186:443    ESTABLISHED
  TCP    100.65.16.59:37757     184.73.174.204:443     ESTABLISHED
  TCP    100.65.16.59:40378     184.73.251.77:443      ESTABLISHED
  TCP    100.65.16.59:46963     23.23.119.220:443      ESTABLISHED
